[Odometry @ factory.py:85][DEBUG] 2017-11-15 17:49:12,232: Logging to: logs/2017_Nov_15/Odometry/17_49_12.log
[Odometry @ node.py:89][INFO] 2017-11-15 17:49:18,435: setup
[Odometry @ node.py:79][DEBUG] 2017-11-15 17:49:21,597: [log buffer start]
[DEBUG, 1510786158.612327]: OdometryMessage(t=1510786158.6123252, n=0, xy=0.0, th=0.0, dt=0.1033778190612793)
[DEBUG, 1510786160.0399952]: OdometryMessage(t=1510786160.039994, n=66, xy=0.0, th=0.0, dt=0.02081775665283203)
[DEBUG, 1510786160.061337]: OdometryMessage(t=1510786160.0613356, n=67, xy=0.0, th=0.0, dt=0.0402674674987793)
[DEBUG, 1510786160.082686]: OdometryMessage(t=1510786160.0826848, n=68, xy=0.0, th=0.0, dt=0.031000137329101562)
[DEBUG, 1510786160.1032467]: OdometryMessage(t=1510786160.103245, n=69, xy=-0.1891398311462993, th=0.0, dt=0.02077198028564453)
[DEBUG, 1510786160.125251]: OdometryMessage(t=1510786160.1252499, n=70, xy=0.0, th=0.0, dt=0.030823230743408203)
[DEBUG, 1510786160.1465168]: OdometryMessage(t=1510786160.1465154, n=71, xy=0.0, th=0.0, dt=0.02071690559387207)
[DEBUG, 1510786160.1674452]: OdometryMessage(t=1510786160.1674435, n=72, xy=0.0, th=0.0, dt=0.020603179931640625)
[DEBUG, 1510786160.1881745]: OdometryMessage(t=1510786160.188173, n=73, xy=0.0, th=0.0, dt=0.030966758728027344)
[DEBUG, 1510786160.1888354]: OdometryMessage(t=1510786160.1888344, n=74, xy=-0.18913983114629973, th=0.0, dt=0.03077983856201172)
[DEBUG, 1510786160.2092135]: OdometryMessage(t=1510786160.2092118, n=75, xy=0.0, th=0.0, dt=0.02080392837524414)
[DEBUG, 1510786160.2098417]: OdometryMessage(t=1510786160.2098405, n=76, xy=0.0, th=0.0, dt=0.02059030532836914)
[DEBUG, 1510786160.2304964]: OdometryMessage(t=1510786160.230495, n=77, xy=0.0, th=0.0, dt=0.03205370903015137)
[DEBUG, 1510786160.2513824]: OdometryMessage(t=1510786160.251381, n=78, xy=0.0, th=0.0, dt=0.03081965446472168)
[DEBUG, 1510786160.272246]: OdometryMessage(t=1510786160.2722445, n=79, xy=0.0, th=0.0, dt=0.02064800262451172)
[DEBUG, 1510786160.2935386]: OdometryMessage(t=1510786160.293537, n=80, xy=-0.1891398311462993, th=0.0, dt=0.03087306022644043)
[DEBUG, 1510786160.3146172]: OdometryMessage(t=1510786160.3146155, n=81, xy=-0.18913983114629973, th=0.0, dt=0.020823955535888672)
[DEBUG, 1510786160.3367422]: OdometryMessage(t=1510786160.3367407, n=82, xy=0.0, th=0.0, dt=0.02086353302001953)
[DEBUG, 1510786160.3578322]: OdometryMessage(t=1510786160.3578308, n=83, xy=0.0, th=0.0, dt=0.034548282623291016)
[DEBUG, 1510786160.3816907]: OdometryMessage(t=1510786160.3816893, n=84, xy=0.0, th=0.0, dt=0.031085968017578125)
[DEBUG, 1510786160.402623]: OdometryMessage(t=1510786160.4026213, n=85, xy=0.0, th=0.0, dt=0.02054572105407715)
[DEBUG, 1510786160.4240825]: OdometryMessage(t=1510786160.424081, n=86, xy=-0.18913983114629973, th=0.0, dt=0.0308685302734375)
[DEBUG, 1510786160.445687]: OdometryMessage(t=1510786160.4456856, n=87, xy=-0.1891398311462993, th=0.0, dt=0.02064681053161621)
[DEBUG, 1510786160.4870589]: OdometryMessage(t=1510786160.4870577, n=88, xy=0.0, th=0.0, dt=0.030828237533569336)
[DEBUG, 1510786160.5083377]: OdometryMessage(t=1510786160.5083358, n=89, xy=0.0, th=0.0, dt=0.02074885368347168)
[DEBUG, 1510786160.5089724]: OdometryMessage(t=1510786160.508971, n=90, xy=-0.378279662292599, th=0.0, dt=0.02065563201904297)
[DEBUG, 1510786160.550198]: OdometryMessage(t=1510786160.5501966, n=91, xy=0.0, th=0.0, dt=0.030844688415527344)
[DEBUG, 1510786160.5717468]: OdometryMessage(t=1510786160.5717452, n=92, xy=-0.18913983114629973, th=0.0, dt=0.020605087280273438)
[DEBUG, 1510786160.5930007]: OdometryMessage(t=1510786160.5929992, n=93, xy=-0.378279662292599, th=0.0, dt=0.03086996078491211)
[DEBUG, 1510786160.6135209]: OdometryMessage(t=1510786160.6135194, n=94, xy=-0.18913983114630017, th=0.0, dt=0.020884037017822266)
[DEBUG, 1510786160.6346478]: OdometryMessage(t=1510786160.6346464, n=95, xy=0.0, th=0.0, dt=0.031009435653686523)
[DEBUG, 1510786160.6559212]: OdometryMessage(t=1510786160.6559198, n=96, xy=-0.5674194934388979, th=0.0, dt=0.031184911727905273)
[DEBUG, 1510786160.676642]: OdometryMessage(t=1510786160.6766405, n=97, xy=-0.37827966229259946, th=0.0, dt=0.0207059383392334)
[DEBUG, 1510786160.6971664]: OdometryMessage(t=1510786160.697165, n=98, xy=-0.37827966229259946, th=0.0, dt=0.02068495750427246)
[DEBUG, 1510786160.7182906]: OdometryMessage(t=1510786160.7182894, n=99, xy=-0.5674194934388987, th=0.0, dt=0.031100988388061523)
[DEBUG, 1510786160.7394686]: OdometryMessage(t=1510786160.7394674, n=100, xy=-0.3782796622925986, th=0.0, dt=0.02088332176208496)
[DEBUG, 1510786160.7811582]: OdometryMessage(t=1510786160.7811565, n=101, xy=-0.5674194934388987, th=0.0, dt=0.031151771545410156)
[DEBUG, 1510786160.8025234]: OdometryMessage(t=1510786160.802522, n=102, xy=-0.5674194934388987, th=-0.0625, dt=0.0208127498626709)
[DEBUG, 1510786160.8232663]: OdometryMessage(t=1510786160.8232648, n=103, xy=-0.5674194934388987, th=0.0, dt=0.031115055084228516)
[DEBUG, 1510786160.8440616]: OdometryMessage(t=1510786160.8440604, n=104, xy=-0.5674194934388996, th=0.0, dt=0.021046161651611328)
[DEBUG, 1510786160.8653371]: OdometryMessage(t=1510786160.8653357, n=105, xy=-0.5674194934388979, th=0.0, dt=0.021079301834106445)
[DEBUG, 1510786160.9064982]: OdometryMessage(t=1510786160.9064965, n=106, xy=-0.5674194934388979, th=-0.06249999999994316, dt=0.031278371810913086)
[DEBUG, 1510786160.927988]: OdometryMessage(t=1510786160.9279866, n=107, xy=-0.7565593245851989, th=0.0, dt=0.020881175994873047)
[DEBUG, 1510786160.9490225]: OdometryMessage(t=1510786160.949021, n=108, xy=-0.5674194934388996, th=0.0, dt=0.03116583824157715)
[DEBUG, 1510786160.9701]: OdometryMessage(t=1510786160.9700985, n=109, xy=-0.5674194934388979, th=-0.06250000000005684, dt=0.020737648010253906)
[DEBUG, 1510786160.9922395]: OdometryMessage(t=1510786160.992238, n=110, xy=-0.7565593245851989, th=0.0, dt=0.020754337310791016)
[DEBUG, 1510786161.0340226]: OdometryMessage(t=1510786161.034021, n=111, xy=-0.7565593245851971, th=-0.0625, dt=0.03107905387878418)
[DEBUG, 1510786161.0547256]: OdometryMessage(t=1510786161.0547242, n=112, xy=-0.7565593245851989, th=0.0, dt=0.020670175552368164)
[DEBUG, 1510786161.0761464]: OdometryMessage(t=1510786161.076145, n=113, xy=-0.7565593245851971, th=-0.0625, dt=0.030842304229736328)
[DEBUG, 1510786161.097016]: OdometryMessage(t=1510786161.097015, n=114, xy=-0.9456991557315, th=0.0, dt=0.020622968673706055)
[DEBUG, 1510786161.1178977]: OdometryMessage(t=1510786161.1178963, n=115, xy=0.0, th=0.0, dt=0.026079416275024414)
[DEBUG, 1510786161.1393273]: OdometryMessage(t=1510786161.1393259, n=116, xy=-0.9456991557314964, th=0.0, dt=0.03090190887451172)
[DEBUG, 1510786161.1602387]: OdometryMessage(t=1510786161.160237, n=117, xy=-0.9456991557314964, th=0.0, dt=0.020754098892211914)
[DEBUG, 1510786161.1816516]: OdometryMessage(t=1510786161.1816502, n=118, xy=-1.3239788180240986, th=-0.125, dt=0.020632266998291016)
[DEBUG, 1510786161.2037737]: OdometryMessage(t=1510786161.2037725, n=119, xy=-1.3239788180240986, th=0.0, dt=0.031006574630737305)
[DEBUG, 1510786161.2249963]: OdometryMessage(t=1510786161.224995, n=120, xy=-1.323978818024095, th=-0.125, dt=0.020753145217895508)
[DEBUG, 1510786161.2466505]: OdometryMessage(t=1510786161.246649, n=121, xy=-1.7022584803166971, th=-0.125, dt=0.030887603759765625)
[DEBUG, 1510786161.2672086]: OdometryMessage(t=1510786161.2672071, n=122, xy=-2.0805381426092957, th=0.0, dt=0.020737409591674805)
[DEBUG, 1510786161.288046]: OdometryMessage(t=1510786161.2880442, n=123, xy=0.0, th=-0.125, dt=0.031005382537841797)
[DEBUG, 1510786161.309577]: OdometryMessage(t=1510786161.3095758, n=124, xy=-2.080538142609292, th=-0.125, dt=0.031023502349853516)
[DEBUG, 1510786161.3306468]: OdometryMessage(t=1510786161.330645, n=125, xy=-2.4588178049018943, th=-0.125, dt=0.020831823348999023)
[DEBUG, 1510786161.353639]: OdometryMessage(t=1510786161.353637, n=126, xy=-2.647957636048197, th=0.0, dt=0.020719289779663086)
[DEBUG, 1510786161.3748853]: OdometryMessage(t=1510786161.3748841, n=127, xy=-2.64795763604819, th=-0.125, dt=0.03085923194885254)
[DEBUG, 1510786161.3965116]: OdometryMessage(t=1510786161.3965104, n=128, xy=-3.0262372983407957, th=-0.1875, dt=0.02074289321899414)
[DEBUG, 1510786161.4315696]: OdometryMessage(t=1510786161.4315681, n=129, xy=-3.215377129487095, th=-0.1875, dt=0.03100275993347168)
[DEBUG, 1510786161.452928]: OdometryMessage(t=1510786161.4529266, n=130, xy=-3.215377129487088, th=-0.25, dt=0.020781755447387695)
[DEBUG, 1510786161.4737794]: OdometryMessage(t=1510786161.4737778, n=131, xy=-3.215377129487095, th=0.0, dt=0.031014204025268555)
[DEBUG, 1510786161.494778]: OdometryMessage(t=1510786161.4947765, n=132, xy=-3.4045169606333943, th=-0.3125, dt=0.02094888687133789)
[DEBUG, 1510786161.5162046]: OdometryMessage(t=1510786161.5162032, n=133, xy=-3.7827966229259857, th=-0.375, dt=0.02076125144958496)
[DEBUG, 1510786161.5523987]: OdometryMessage(t=1510786161.5523975, n=134, xy=-3.5936567917796935, th=-0.25, dt=0.031528472900390625)
[DEBUG, 1510786161.5736327]: OdometryMessage(t=1510786161.5736308, n=135, xy=-3.782796622925993, th=-0.4375, dt=0.020548582077026367)
[DEBUG, 1510786161.597234]: OdometryMessage(t=1510786161.5972328, n=136, xy=0.0, th=-0.4375, dt=0.037752389907836914)
[log buffer end]
[Odometry @ node.py:81][DEBUG] 2017-11-15 17:49:21,597: logging message buffer (len=16438)
[Odometry @ node.py:79][DEBUG] 2017-11-15 17:49:25,020: [log buffer start]
[DEBUG, 1510786161.5985048]: OdometryMessage(t=1510786161.5985034, n=137, xy=-4.161076285218591, th=0.0, dt=0.030997037887573242)
[DEBUG, 1510786161.6353376]: OdometryMessage(t=1510786161.6353364, n=138, xy=-3.971936454072292, th=-0.4375, dt=0.020613670349121094)
[DEBUG, 1510786161.6588087]: OdometryMessage(t=1510786161.6588073, n=139, xy=-4.350216116364891, th=-0.5, dt=0.030759811401367188)
[DEBUG, 1510786161.6946876]: OdometryMessage(t=1510786161.6946862, n=140, xy=-4.350216116364891, th=-0.4375, dt=0.020621776580810547)
[DEBUG, 1510786161.7154477]: OdometryMessage(t=1510786161.715446, n=141, xy=-4.728495778657489, th=-0.3125, dt=0.03085780143737793)
[DEBUG, 1510786161.736825]: OdometryMessage(t=1510786161.7368233, n=142, xy=-4.9176356098037814, th=-0.4375, dt=0.02064037322998047)
[DEBUG, 1510786161.7748618]: OdometryMessage(t=1510786161.7748601, n=143, xy=-4.728495778657489, th=-0.49999999999994316, dt=0.03077101707458496)
[DEBUG, 1510786161.811889]: OdometryMessage(t=1510786161.8118877, n=144, xy=-4.728495778657489, th=-0.43750000000005684, dt=0.020830631256103516)
[DEBUG, 1510786161.8336394]: OdometryMessage(t=1510786161.833638, n=145, xy=-4.9176356098037814, th=-0.5, dt=0.030848979949951172)
[DEBUG, 1510786161.8689535]: OdometryMessage(t=1510786161.8689523, n=146, xy=-4.917635609803796, th=-0.49999999999994316, dt=0.020629405975341797)
[DEBUG, 1510786161.890496]: OdometryMessage(t=1510786161.8904943, n=147, xy=-4.728495778657489, th=-0.5000000000000568, dt=0.03085613250732422)
[DEBUG, 1510786161.922398]: OdometryMessage(t=1510786161.9223967, n=148, xy=-4.728495778657489, th=-0.3125, dt=0.020639419555664062)
[DEBUG, 1510786161.9438012]: OdometryMessage(t=1510786161.9437995, n=149, xy=-4.728495778657489, th=-0.5, dt=0.030736446380615234)
[DEBUG, 1510786161.9654522]: OdometryMessage(t=1510786161.9654505, n=150, xy=-4.539355947511197, th=-0.49999999999994316, dt=0.020722389221191406)
[DEBUG, 1510786161.9957209]: OdometryMessage(t=1510786161.9957192, n=151, xy=-4.350216116364891, th=-0.5000000000000568, dt=0.020709991455078125)
[DEBUG, 1510786162.0244842]: OdometryMessage(t=1510786162.0244827, n=152, xy=-4.350216116364891, th=-0.5625, dt=0.02060413360595703)
[DEBUG, 1510786162.047761]: OdometryMessage(t=1510786162.0477593, n=153, xy=0.0, th=-0.625, dt=0.023908376693725586)
[DEBUG, 1510786162.079119]: OdometryMessage(t=1510786162.0791175, n=154, xy=-4.16107628521857, th=-0.6875, dt=0.020582199096679688)
[DEBUG, 1510786162.106799]: OdometryMessage(t=1510786162.1067975, n=155, xy=-4.1610762852185985, th=0.0, dt=0.03077387809753418)
[DEBUG, 1510786162.1369767]: OdometryMessage(t=1510786162.1369753, n=156, xy=-4.539355947511183, th=-0.75, dt=0.02082681655883789)
[DEBUG, 1510786162.1732268]: OdometryMessage(t=1510786162.1732254, n=157, xy=-4.917635609803796, th=-0.875, dt=0.0207977294921875)
[DEBUG, 1510786162.2037675]: OdometryMessage(t=1510786162.203766, n=158, xy=-5.106775440950088, th=-0.5625, dt=0.02059483528137207)
[DEBUG, 1510786162.2296371]: OdometryMessage(t=1510786162.2296357, n=159, xy=-5.674194934388993, th=-0.9375, dt=0.030797958374023438)
[DEBUG, 1510786162.25124]: OdometryMessage(t=1510786162.2512386, n=160, xy=-5.863334765535285, th=0.0, dt=0.02096700668334961)
[DEBUG, 1510786162.2808683]: OdometryMessage(t=1510786162.2808669, n=161, xy=-6.052474596681577, th=-1.0625, dt=0.031043529510498047)
[DEBUG, 1510786162.3019998]: OdometryMessage(t=1510786162.3019984, n=162, xy=-6.241614427827898, th=-1.0625, dt=0.02075791358947754)
[DEBUG, 1510786162.332633]: OdometryMessage(t=1510786162.332631, n=163, xy=-6.4307542589741615, th=-1.125, dt=0.031208515167236328)
[DEBUG, 1510786162.3696897]: OdometryMessage(t=1510786162.3696885, n=164, xy=-6.809033921266803, th=-1.0625, dt=0.02088189125061035)
[DEBUG, 1510786162.4073055]: OdometryMessage(t=1510786162.4073043, n=165, xy=-7.565593245852, th=-0.75, dt=0.03086233139038086)
[DEBUG, 1510786162.4407532]: OdometryMessage(t=1510786162.4407518, n=166, xy=-7.754733076998264, th=-1.0625, dt=0.020625591278076172)
[DEBUG, 1510786162.473996]: OdometryMessage(t=1510786162.4739945, n=167, xy=-7.943872908144584, th=-1.0, dt=0.030764341354370117)
[DEBUG, 1510786162.47468]: OdometryMessage(t=1510786162.4746788, n=168, xy=-7.943872908144584, th=0.0, dt=0.02059197425842285)
[DEBUG, 1510786162.5100296]: OdometryMessage(t=1510786162.5100281, n=169, xy=-8.322152570437169, th=-1.0625, dt=0.030937910079956055)
[DEBUG, 1510786162.5376387]: OdometryMessage(t=1510786162.5376375, n=170, xy=-8.51129240158349, th=-1.0, dt=0.020642518997192383)
[DEBUG, 1510786162.5609334]: OdometryMessage(t=1510786162.560932, n=171, xy=-8.889572063876074, th=-1.0, dt=0.0309908390045166)
[DEBUG, 1510786162.5953403]: OdometryMessage(t=1510786162.5953388, n=172, xy=-9.267851726168715, th=-0.9374999999999432, dt=0.020856857299804688)
[DEBUG, 1510786162.6211188]: OdometryMessage(t=1510786162.621117, n=173, xy=-9.267851726168658, th=0.0, dt=0.020527362823486328)
[DEBUG, 1510786162.6421583]: OdometryMessage(t=1510786162.6421568, n=174, xy=-9.267851726168658, th=-0.6250000000000568, dt=0.030923843383789062)
[DEBUG, 1510786162.66908]: OdometryMessage(t=1510786162.6690784, n=175, xy=-9.078711895022423, th=-0.9375, dt=0.020807504653930664)
[DEBUG, 1510786162.7020612]: OdometryMessage(t=1510786162.70206, n=176, xy=-9.078711895022366, th=-0.9375, dt=0.02070450782775879)
[DEBUG, 1510786162.72632]: OdometryMessage(t=1510786162.7263184, n=177, xy=0.0, th=-0.9375, dt=0.008062124252319336)
[DEBUG, 1510786162.7634172]: OdometryMessage(t=1510786162.7634158, n=178, xy=-9.078711895022423, th=-0.9375, dt=0.020684480667114258)
[DEBUG, 1510786162.796194]: OdometryMessage(t=1510786162.7961926, n=179, xy=-9.45699155731495, th=-0.9375, dt=0.020641326904296875)
[DEBUG, 1510786162.8204641]: OdometryMessage(t=1510786162.8204627, n=180, xy=-10.213550881900176, th=-0.9375, dt=0.03081059455871582)
[DEBUG, 1510786162.8418772]: OdometryMessage(t=1510786162.8418758, n=181, xy=-9.6461313884613, th=-0.9375, dt=0.0205690860748291)
[DEBUG, 1510786162.867998]: OdometryMessage(t=1510786162.8679967, n=182, xy=-9.646131388461242, th=-0.8125, dt=0.03094792366027832)
[DEBUG, 1510786162.9038067]: OdometryMessage(t=1510786162.9038053, n=183, xy=-9.078711895022423, th=-0.875, dt=0.020758628845214844)
[DEBUG, 1510786162.943339]: OdometryMessage(t=1510786162.943338, n=184, xy=-9.456991557315007, th=-0.875, dt=0.020569562911987305)
[DEBUG, 1510786162.9665658]: OdometryMessage(t=1510786162.9665644, n=185, xy=-9.078711895022366, th=-0.625, dt=0.030791521072387695)
[DEBUG, 1510786163.0025015]: OdometryMessage(t=1510786163.0025, n=186, xy=-8.133012739290905, th=-0.9375, dt=0.020683765411376953)
[DEBUG, 1510786163.038836]: OdometryMessage(t=1510786163.0388346, n=187, xy=-7.943872908144556, th=-1.0, dt=0.020556211471557617)
[DEBUG, 1510786163.0681307]: OdometryMessage(t=1510786163.0681293, n=188, xy=-7.5655932458519715, th=-0.9375, dt=0.020538806915283203)
[DEBUG, 1510786163.1012363]: OdometryMessage(t=1510786163.101235, n=189, xy=-7.565593245852028, th=-0.9999999999999432, dt=0.03075408935546875)
[DEBUG, 1510786163.1329887]: OdometryMessage(t=1510786163.1329873, n=190, xy=-7.376453414705679, th=-0.9375000000000568, dt=0.020689964294433594)
[DEBUG, 1510786163.1338995]: OdometryMessage(t=1510786163.133898, n=191, xy=-7.5655932458519715, th=0.0, dt=0.030878782272338867)
